PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
S220	-0.235	1.421	-0.982	-0.505	0.214	-0.654	0.022	0.307	-0.239	-0.376	0.071	0.011	0.032	-0.055	-0.231	-0.173	-0.028	0.083	-0.019	0.077	-0.09	0.046	0.049	-0.048	-0.089	0.121	0.037	0.132	0.005	0.072	0.2	-0.025	-0.192	0.047	-0.082	-0.014	0.087	0.037	0.025	0.039	0.062	0.001	-0.152	0.165	0.045	0.032	0.002	0.082	0.052	0.033
S97	-1.994	0.361	0.524	0.972	0.049	0.364	-0.18	0.058	0.239	-0.046	-0.187	-0.046	0.051	-0.248	-0.019	0.213	-0.393	-0.078	0.105	0.233	-0.003	0.016	-0.122	0.128	0.061	0.141	-0.101	0.158	-0.072	0.068	0.105	-0.116	-0.12	0.036	-0.01	0	0.009	0.043	-0.011	0.268	-0.063	0.067	0.002	0.159	0.04	-0.161	-0.017	0.127	-0.066	-0.021
S175	-0.915	1.012	0.721	0.851	0.32	0.12	0.029	-0.349	-0.003	-0.052	-0.128	0.089	0.071	-0.171	0.058	0.136	-0.107	0.057	-0.097	0.067	0.057	-0.087	-0.134	-0.111	-0.008	0.101	-0.062	0.062	0.05	-0.029	-0.024	-0.009	-0.081	-0.021	0.039	0.096	0.132	0.03	-0.047	0.097	0.016	-0.07	0.112	-0.014	-0.185	-0.023	0.009	0.105	-0.029	-0.016
S144	1.801	-0.813	0.62	0.064	0.011	-0.012	-0.145	-0.149	0.032	0.019	-0.072	-0.067	-0.147	0.092	-0.251	0.081	0.067	-0.098	0.176	-0.001	-0.191	-0.036	-0.112	-0.007	-0.123	-0.182	-0.152	-0.103	0.106	0.026	0.087	-0.104	0.089	0.091	0.053	-0.084	-0.019	-0.026	-0.155	0.008	-0.012	0.06	-0.003	0.15	-0.073	0.031	-0.007	0.1	0.002	-0.043
S75	1.599	-0.458	-0.82	-0.182	-0.552	0.22	-0.558	-0.262	-0.194	0.063	-0.217	0.118	0.035	-0.008	0.086	0.011	-0.089	0.001	0.066	-0.005	-0.223	0.073	0.053	0.063	-0.088	0.166	0.068	-0.106	0.094	0.106	-0.259	0.006	0.073	-0.152	0.021	-0.121	-0.024	0.026	0.099	0.159	-0.016	0.001	-0.063	0.017	0.066	0.044	-0.086	-0.082	0.107	0.047
S155	-1.666	1.318	-0.17	-0.042	-0.522	-0.692	-0.165	-0.2	0.178	-0.085	-0.099	0.069	0.076	0.27	0.044	0.041	0.231	-0.006	0.074	-0.192	0.052	-0.005	0.259	0.1	-0.028	-0.097	-0.037	0.063	0.122	-0.117	-0.052	0.023	0.007	0.112	0.015	-0.044	0.068	-0.054	-0.064	0.039	-0.033	-0.004	-0.072	-0.233	0.077	0.054	0.099	0.096	0.045	0.101
S46	-0.322	1.078	0.331	0.565	0.285	0.208	0.017	-0.558	0.038	-0.244	-0.036	0.212	-0.065	-0.074	-0.185	0.205	-0.06	0.01	0.247	-0.033	-0.012	-0.062	-0.187	-0.068	-0.045	0.247	0.122	0	0.037	0.105	0.092	0.162	-0.063	0.036	-0.041	-0.071	0.018	0.014	0.171	0.002	0.046	0.053	0.12	-0.024	-0.033	0.001	0.053	0.092	0.122	-0.011
S55	1.735	-1.138	1.119	0.175	-0.153	-0.282	0.082	0.004	0.245	-0.057	0.219	0.179	-0.196	-0.129	-0.266	-0.11	-0.02	0.033	-0.105	0.059	-0.091	0.087	-0.1	0.056	0.08	-0.151	0.068	0.082	0.12	0.135	-0.098	-0.012	0.081	-0.033	-0.09	-0.047	-0.012	0.044	-0.041	0.145	0.063	0	0.007	0.071	0.026	-0.094	0.02	0.013	0.014	0.153
S7	-3.042	-0.384	0.228	-0.105	-0.17	-0.463	-0.405	0.261	-0.149	-0.026	-0.167	0.097	-0.303	0.135	0.115	0.014	-0.243	0.048	-0.189	-0.277	-0.036	0.023	-0.15	0.216	0.023	-0.059	0.028	-0.252	-0.063	-0.087	-0.072	-0.03	0.215	-0.02	0.084	0.033	-0.156	0.126	0.022	0	0.146	0.015	0.092	0.028	-0.164	-0.106	-0.001	0.082	-0.139	0.013
S9	-3.562	-1.345	-0.172	-0.617	-0.057	-0.249	-0.353	0.022	-0.367	0.063	-0.156	-0.071	-0.196	0.134	0.029	-0.115	-0.032	0.151	-0.069	-0.274	-0.006	0.079	-0.084	0.184	-0.281	-0.179	0.188	-0.182	-0.116	-0.02	-0.137	-0.204	0.144	0.071	0.088	0.111	-0.049	0.017	-0.002	-0.117	-0.07	0.009	0.022	0.03	-0.216	0.113	0.037	-0.071	-0.168	0.146
